"unitid","institution name","year","EFFY2023.Level and degree/certificate-seeking status of student","EFFY2023.Undergraduate or graduate level of student","EFFY2023.Grand total","EFFY2023.Grand total men","EFFY2023.Grand total women","EFFY2023.American Indian or Alaska Native total","EFFY2023.American Indian or Alaska Native men","EFFY2023.American Indian or Alaska Native women","EFFY2023.Asian total","EFFY2023.Asian men","EFFY2023.Asian women","EFFY2023.Black or African American total","EFFY2023.Black or African American men","EFFY2023.Black or African American women","EFFY2023.Hispanic or Latino total","EFFY2023.Hispanic or Latino men","EFFY2023.Hispanic or Latino women","EFFY2023.Native Hawaiian or Other Pacific Islander total","EFFY2023.Native Hawaiian or Other Pacific Islander men","EFFY2023.Native Hawaiian or Other Pacific Islander women","EFFY2023.White total","EFFY2023.White men","EFFY2023.White women","EFFY2023.Two or more races total","EFFY2023.Two or more races men","EFFY2023.Two or more races women","EFFY2023.Race/ethnicity unknown total","EFFY2023.Race/ethnicity unknown men","EFFY2023.Race/ethnicity unknown women","EFFY2023.U.S. Nonresident total","EFFY2023.U.S. Nonresident men","EFFY2023.U.S. Nonresident women","EFFY2023.Gender unknown","EFFY2023.Another gender","EFFY2023.Total of gender unknown and  another gender","EFFY2023.Total gender reported as one of the mutually exclusive binary categories (Men/Women)","IDX_E12"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students total","All students total","23290","11887","11403","25","12","13","3207","1671","1536","168","111","57","4958","2538","2420","58","40","18","12051","6025","6026","1748","860","888","712","414","298","363","216","147","1456","160","1616","21674","-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students, Undergraduate total","Undergraduate","22148","11307","10841","23","12","11","3087","1596","1491","152","101","51","4709","2425","2284","54","37","17","11462","5736","5726","1690","828","862","667","390","277","304","182","122","1340","149","1489","20659","-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","22075","11267","10808","23","12","11","3086","1595","1491","152","101","51","4703","2422","2281","54","37","17","11456","5733","5723","1689","828","861","666","389","277","246","150","96",,,,,"-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","5118","2419","2699","2","2","0","759","386","373","35","18","17","1171","557","614","11","6","5","2538","1152","1386","421","193","228","139","81","58","42","24","18",,,,,"-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail","16957","8848","8109","21","10","11","2327","1209","1118","117","83","34","3532","1865","1667","43","31","12","8918","4581","4337","1268","635","633","527","308","219","204","126","78",,,,,"-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","73","40","33","0","0","0","1","1","0","0","0","0","6","3","3","0","0","0","6","3","3","1","0","1","1","1","0","58","32","26",,,,,"-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students, Graduate","Graduate","1142","580","562","2","0","2","120","75","45","16","10","6","249","113","136","4","3","1","589","289","300","58","32","26","45","24","21","59","34","25","116","11","127","1015","-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","834","476","358","2","1","1","86","53","33","12","10","2","284","159","125","3","2","1","354","196","158","46","29","17","37","20","17","10","6","4",,,,,"-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","16123","8372","7751","19","9","10","2241","1156","1085","105","73","32","3248","1706","1542","40","29","11","8564","4385","4179","1222","606","616","490","288","202","194","120","74",,,,,"-2"
"110422","California Polytechnic State University-San Luis Obispo","2023","Full-time students total","Not applicable, undergraduate detail","21565","10856","10709","22","10","12","2989","1536","1453","157","104","53","4584","2323","2261","55","38","17","11166","5511","5655","1636","789","847","626","355","271","330","190","140",,,,,"-2"
