NAME,CITY,STATE
DR. TJ OWENS GILROY EARLY COLLEGE ACADEMY,GILROY,CA
NU TECH HIGH,GRASS VALLEY,CA
JOHN MARSHALL ELEMENTARY,STOCKTON,CA
CASA DE ORO ELEMENTARY,SPRING VALLEY,CA
WILLARD (FRANCES E.) ELEMENTARY,ROSEMEAD,CA
ELSINORE HIGH,WILDOMAR,CA
BLUE OAKS ELEMENTARY,ROSEVILLE,CA
GATEWAY ELEMENTARY,RIDGECREST,CA
MONROE ELEMENTARY,SANTA ANA,CA
SAN LUIS HIGH (CONTINUATION),LOS BANOS,CA
DAVID STARR JORDAN SENIOR HIGH,LOS ANGELES,CA
LAGUNA ELEMENTARY,PETALUMA,CA
ACADEMY FOR CHANGE,CHICO,CA
MAUDE B. DAVIS ELEMENTARY,COSTA MESA,CA
NEWHART MIDDLE,MISSION VIEJO,CA
INNOVATIONS ACADEMY OF PALMDALE,PALMDALE,CA
EL CAMINO HIGH,OCEANSIDE,CA
TERRA NOVA HIGH,PACIFICA,CA
FEATHER RIVER ACADEMY,YUBA CITY,CA
FRED L. WILLIAMS ELEMENTARY,OXNARD,CA
MAYFAIR HIGH,LAKEWOOD,CA
WILLIAM J. (PETE) KNIGHT HIGH,PALMDALE,CA
SAN ANDREAS HIGH (CONTINUATION),LARKSPUR,CA
JACK LONDON COMMUNITY DAY,VALLEY GLEN,CA
RICHMOND STREET ELEMENTARY,EL SEGUNDO,CA
BELLFLOWER HIGH,BELLFLOWER,CA
CATHEDRAL CITY HIGH,CATHEDRAL CITY,CA
THOMAS JEFFERSON MIDDLE,MADERA,CA
BRIDGES ACADEMY,LEMOORE,CA
RISING SUN,VERNALIS,CA
SIXTY-FIRST STREET ELEMENTARY,LOS ANGELES,CA
TOBY JOHNSON MIDDLE,ELK GROVE,CA
PUC EARLY COLLEGE ACADEMY FOR LEADERS AND SCHOLARS (ECALS),LOS ANGELES,CA
ACADEMIA AVANCE CHARTER,HIGHLAND PARK,CA
TRONA ELEMENTARY,TRONA,CA
SIERRA VISTA EDUCATION CENTER,RIDGECREST,CA
ROOSEVELT MIDDLE,COMPTON,CA
DOLORES HUERTA ELEMENTARY,STOCKTON,CA
SAN GORGONIO MIDDLE,BEAUMONT,CA
CORONA ELEMENTARY,ONTARIO,CA
BIG LAGOON ELEMENTARY,TRINIDAD,CA
CALIFORNIA HIGH,SAN RAMON,CA
BUENA VISTA HIGH (CONTINUATION),TAFT,CA
GEORGE WASHINGTON ELEMENTARY,NORCO,CA
CALIMESA ELEMENTARY,YUCAIPA,CA
