NAME,CITY,STATE
SHERIDAN ALLPREP ACADEMY,SHERIDAN,OR
WOODSTOCK ELEMENTARY SCHOOL,PORTLAND,OR
GLIDE HIGH SCHOOL,GLIDE,OR
SUNSET ELEMENTARY SCHOOL,HERMISTON,OR
HIGHLAND HILLS ELEMENTARY SCHOOL,HERMISTON,OR
GORDON RUSSELL MIDDLE SCHOOL,GRESHAM,OR
RAINIER JR/SR HIGH SCHOOL,RAINIER,OR
WALDO MIDDLE SCHOOL,SALEM,OR
GASTON ELEMENTARY SCHOOL,GASTON,OR
W L HENRY ELEMENTARY SCHOOL,HILLSBORO,OR
PHOENIX SCHOOL,ROSEBURG,OR
BEACH ELEMENTARY SCHOOL,PORTLAND,OR
ONTARIO HIGH SCHOOL,ONTARIO,OR
KENO ELEMENTARY SCHOOL,KENO,OR
GRIFFIN CREEK ELEMENTARY SCHOOL,MEDFORD,OR
TAFT ELEMENTARY SCHOOL,LINCOLN CITY,OR
SCAPPOOSE HIGH SCHOOL,SCAPPOOSE,OR
WEST ORIENT MIDDLE SCHOOL,GRESHAM,OR
LA GRANDE HIGH SCHOOL,LA GRANDE,OR
THE VALLEY SCHOOL OF SOUTHERN OREGON,MEDFORD,OR
THE CANNON BEACH ACADEMY,CANNON BEACH,OR
VERNONIA HIGH SCHOOL,VERNONIA,OR
ATHEY CREEK MIDDLE SCHOOL,TUALATIN,OR
BUENA VISTA ELEMENTARY SCHOOL,EUGENE,OR
MID VALLEY ELEMENTARY SCHOOL,HOOD RIVER,OR
BARNES ELEMENTARY SCHOOL,BEAVERTON,OR
WEST LANE TECHNOLOGY LEARNING CENTER,VENETA,OR
TWIN OAKS ELEMENTARY SCHOOL,EUGENE,OR
MAY STREET ELEMENTARY SCHOOL,HOOD RIVER,OR
NYSSA HIGH SCHOOL,NYSSA,OR
OREGON CHARTER ACADEMY,MILL CITY,OR
OREGON VIRTUAL EDUCATION,SCIO,OR
OAK HILLS ELEMENTARY SCHOOL,BEAVERTON,OR
JEFFERSON HIGH SCHOOL,JEFFERSON,OR
LAURELHURST ELEMENTARY SCHOOL,PORTLAND,OR
LENOX ELEMENTARY SCHOOL,PORTLAND,OR
BUCKMAN ELEMENTARY SCHOOL,PORTLAND,OR
CHILDS WAY CHARTER SCHOOL,DORENA,OR
SOUTH MEADOWS MIDDLE SCHOOL,HILLSBORO,OR
MT ANGEL MIDDLE SCHOOL,MT ANGEL,OR
JACKSON ELEMENTARY SCHOOL,MEDFORD,OR
CRESLANE ELEMENTARY SCHOOL,CRESWELL,OR
COMMUNITY SCHOOL,BEAVERTON,OR
CHARLES F TIGARD ELEMENTARY SCHOOL,TIGARD,OR
MCCORNACK ELEMENTARY SCHOOL,EUGENE,OR
GLIDE MIDDLE SCHOOL,GLIDE,OR
NEWPORT HIGH SCHOOL,NEWPORT,OR
SWEGLE ELEMENTARY SCHOOL,SALEM,OR
MAPLEWOOD ELEMENTARY SCHOOL,PORTLAND,OR
PONDEROSA ELEMENTARY,BEND,OR
WILLIAM E MILLER ELEMENTARY,BEND,OR
MADRAS ELEMENTARY SCHOOL,MADRAS,OR
KLAMATH UNION HIGH SCHOOL,KLAMATH FALLS,OR
METZGER ELEMENTARY SCHOOL,TIGARD,OR
THE COMMUNITY ROOTS SCHOOL,SILVERTON,OR
CASCADE JUNIOR HIGH SCHOOL,TURNER,OR
WINTER LAKES HIGH,COQUILLE,OR
NORTH EUGENE HIGH SCHOOL,EUGENE,OR
MAUPIN ELEMENTARY SCHOOL,MAUPIN,OR
CONDON ELEMENTARY SCHOOL,CONDON,OR
DUNDEE ELEMENTARY SCHOOL,DUNDEE,OR
TUALATIN ELEMENTARY SCHOOL,TUALATIN,OR
WILLAMINA ELEMENTARY SCHOOL,WILLAMINA,OR
SATO ELEMENTARY SCHOOL,PORTLAND,OR
HOWARD ELEMENTARY SCHOOL,EUGENE,OR
SUNTEX ELEMENTARY SCHOOL,RILEY,OR
CHIEF JOSEPH ELEMENTARY SCHOOL,PORTLAND,OR
SHASTA ELEMENTARY SCHOOL,KLAMATH FALLS,OR
SAMS VALLEY ELEMENTARY SCHOOL,CENTRAL POINT,OR
JOHN TUCK ELEMENTARY SCHOOL,REDMOND,OR
MAPLETON JR/SR HIGH SCHOOL,MAPLETON,OR
OAKRIDGE ELEMENTARY SCHOOL,OAKRIDGE,OR
MARI-LINN ELEMENTARY SCHOOL,LYONS,OR
OREGON CITY SENIOR HIGH SCHOOL,OREGON CITY,OR
BURNT RIVER SCHOOL,UNITY,OR
REDLAND ELEMENTARY SCHOOL,OREGON CITY,OR
YAMHILL CARLTON INTERMEDIATE SCHOOL,YAMHILL,OR
EAGLE POINT HIGH SCHOOL,EAGLE POINT,OR
JACOB WISMER ELEMENTARY SCHOOL,PORTLAND,OR
TWALITY MIDDLE SCHOOL,TIGARD,OR
JACKSON MIDDLE SCHOOL,PORTLAND,OR
HAUTON B LEE MIDDLE SCHOOL,PORTLAND,OR
BROOKLYN PRIMARY SCHOOL,BAKER CITY,OR
ENTERPRISE ELEMENTARY SCHOOL,ENTERPRISE,OR
HOWARD STREET CHARTER,SALEM,OR
MILWAUKIE ACADEMY OF THE ARTS,MILWAUKIE,OR
OAK GROVE ELEMENTARY SCHOOL,MEDFORD,OR
TABLE ROCK ELEMENTARY,WHITE CITY,OR
BLACK BUTTE ELEMENTARY SCHOOL,CAMP SHERMAN,OR
HOLLYDALE ELEMENTARY SCHOOL,GRESHAM,OR
TUALATIN HIGH SCHOOL,TUALATIN,OR
NEAH-KAH-NIE HIGH SCHOOL,ROCKAWAY BEACH,OR
CENTENNIAL ELEMENTARY SCHOOL,SPRINGFIELD,OR
ASTORIA SENIOR HIGH SCHOOL,ASTORIA,OR
COFFENBERRY MIDDLE SCHOOL,MYRTLE CREEK,OR
PHILOMATH ELEMENTARY SCHOOL,PHILOMATH,OR
WALT MOREY MIDDLE SCHOOL,TROUTDALE,OR
WILLAMINA MIDDLE SCHOOL,WILLAMINA,OR
LINCOLN CITY CAREER TECHNICAL HIGH SCHOOL,LINCOLN CITY,OR
PROSPECT CHARTER SCHOOL,PROSPECT,OR
CONESTOGA MIDDLE SCHOOL,BEAVERTON,OR
CENTRAL HIGH SCHOOL,INDEPENDENCE,OR
