NAME,CITY,STATE
DEVINE H S,DEVINE,TX
AMI KIDS RIO GRANDE VALLEY (FKA RGMI),LOS FRESNOS,TX
GARY AND BOBBYE JACK MINSHEW EL,MCKINNEY,TX
ACHIEVE EARLY COLLEGE H S,MCALLEN,TX
MISSION RIDGE,EL PASO,TX
RICHLAND EL,RICHLAND HILLS,TX
PREMIER H S OF PFLUGERVILLE,PFLUGERVILLE,TX
CIELO VISTA EL,EL PASO,TX
LANNY FRASIER MIDDLE,MESQUITE,TX
VERAMENDI EL,NEW BRAUNFELS,TX
PREPARATORY FOR EARLY COLLEGE H S,RIO GRANDE CITY,TX
WEST WARD EL,KILLEEN,TX
DANBURY MIDDLE,DANBURY,TX
WILLOW WOOD J H,TOMBALL,TX
WALLER J H,WALLER,TX
CANYON VISTA MIDDLE,AUSTIN,TX
ROOSEVELT-WILSON EL,TEXAS CITY,TX
LIECK EL,SAN ANTONIO,TX
AUSTIN EL,SAN ANGELO,TX
FRY INT,TEXAS CITY,TX
DARROUZETT SCHOOLS,DARROUZETT,TX
A M PATE EL,FORT WORTH,TX
LEE EL,AUSTIN,TX
BARBARA JORDAN EL,DALLAS,TX
LOHN SCHOOL,LOHN,TX
BENBROOK EL,FORT WORTH,TX
TULOSO-MIDWAY H S,CORPUS CHRISTI,TX
TEXAS ONLINE PREPARATORY H S,HUNTSVILLE,TX
JACKSONVILLE H S,JACKSONVILLE,TX
KIPP AUSTIN CONNECTIONS EL,AUSTIN,TX
ODESSA KILPATRICK EL,KATY,TX
SAN JACINTO EL,ODESSA,TX
CESAR E CHAVEZ ACADEMY,CORPUS CHRISTI,TX
STAFFORD EL,SAN ANTONIO,TX
PLACEDO EL,PLACEDO,TX
POST H S,POST,TX
BRACKETT J H,BRACKETTVILLE,TX
LYNDON B JOHNSON MIDDLE,JOHNSON CITY,TX
SULPHUR SPRINGS H S,SULPHUR SPRINGS,TX
HARVARD EL,HOUSTON,TX
CELIA HAYS EL,ROCKWALL,TX
SOMERSET H S,SOMERSET,TX
HAROLD T BRANCH ACADEMY FOR CAREER & TECHNICAL ED,CORPUS CHRISTI,TX
FURR H S,HOUSTON,TX
WEST HARDIN H S,SARATOGA,TX
IRVIN H S,EL PASO,TX
NORTH RICHLAND MIDDLE,NORTH RICHLAND HILLS,TX
CRESTVIEW EL,NEW BOSTON,TX
EAST CHAMBERS H S,WINNIE,TX
GAINESVILLE H S,GAINESVILLE,TX
ALTER DISCIPLINE CAMPUS,FORT WORTH,TX
TRANSMOUNTAIN EARLY COLLEGE H S,EL PASO,TX
RUSSELL P SCHUPMANN EL,GLENN HEIGHTS,TX
BETHKE EL,KATY,TX
VALLEY VIEW SOUTH EL,PHARR,TX
MONTGOMERY J H,MONTGOMERY,TX
O'BANION MIDDLE,GARLAND,TX
MORRIS MIDDLE,MCALLEN,TX
CALLISBURG H S,CALLISBURG,TX
SLAUGHTER EL,MCKINNEY,TX
ALLEN EL,FRISCO,TX
GRAHAM LEARNING CTR,GRAHAM,TX
SHARON SHANNON EL,ROCKWALL,TX
PREMIER H S OF COMANCHE/EARLY,EARLY,TX
HARDIN-JEFFERSON H S,SOUR LAKE,TX
CEDAR VALLEY MIDDLE,AUSTIN,TX
TOM WILSON EL,KATY,TX
SUSANNA DICKINSON EL,SUGAR LAND,TX
BOWIE H S,EL PASO,TX
NORTH DALLAS H S,DALLAS,TX
AUSTIN MONTESSORI MAGNET,ODESSA,TX
JOE V HART EL,LUCAS,TX
ROBERT CRIPPEN EL,PORTER,TX
MT ENTERPRISE EL,MT ENTERPRISE,TX
ARABIC IMMERSION MAGNET SCHOOL,HOUSTON,TX
HODGES EL,LUBBOCK,TX
BRADY MIDDLE,BRADY,TX
GREAT HEARTS MONTE VISTA NORTH,SAN ANTONIO,TX
ATASCOCITA MIDDLE,HUMBLE,TX
LIBERTY HILL J H,LIBERTY HILL,TX
WHITE MIDDLE,SAN ANTONIO,TX
REMYNSE EL,GRAND PRAIRIE,TX
MITCHELL EL,BRYAN,TX
LORAINE T GOLBOW EL,KATY,TX
GULLEDGE EL,PLANO,TX
ISCHOOL HIGH AT THE WOODLANDS,CONROE,TX
AUSTIN OAKS,AUSTIN,TX
MONTANA VISTA EL,EL PASO,TX
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO EAST,EL PASO,TX
LAMAR CONS H S,ROSENBERG,TX
MACARIO GARCIA MIDDLE,SUGAR LAND,TX
GILBERT F M EL,IRVING,TX
PLANO SPECIAL PROGRAMS CENTER,NEVADA,TX
LOVEJOY H S,LUCAS,TX
CONNALLY PRI,ELM MOTT,TX
NORTH BRIDGE EL,WESLACO,TX
MACARTHUR H S,IRVING,TX
BOVINA MIDDLE,BOVINA,TX
LEON SPRINGS EL,SAN ANTONIO,TX
GEORGE W BUSH EL,ST PAUL,TX
JP COWEN ACHIEVEMENT CENTER,SWEETWATER,TX
ELLA SCHORLEMMER EL,VICTORIA,TX
HEALY-MURPHY,SAN ANTONIO,TX
LAMESA SCHOOLS,LAMESA,TX
STUART CAREER TECH H S,BAYTOWN,TX
SILSBEE EL,SILSBEE,TX
HENRY FORD EL,PHARR,TX
JUDSON LEARNING ACAD,SAN ANTONIO,TX
BRAZORIA CO J J A E P,SWEENY,TX
MCNEIL H S,AUSTIN,TX
WORTH HEIGHTS EL,FORT WORTH,TX
EL MAGNET AT REAGAN EL,ODESSA,TX
KAUFMAN EL,SPRING,TX
GUS BIRDWELL EL,SPEARMAN,TX
LATEXO H S,LATEXO,TX
SMITHSON VALLEY H S,SPRING BRANCH,TX
DE ZAVALA EL,MIDLAND,TX
WILLIAMSON COUNTY JJAEP,GEORGETOWN,TX
JACK D JOHNSON EL,SOUTHLAKE,TX
HUFFMAN EL,HUFFMAN,TX
COPPELL MIDDLE NORTH,COPPELL,TX
TAYLOR EL,MERCEDES,TX
A G ELDER EL,JOSHUA,TX
TRANSFORMING LIVES COOPERATIVE (TLC),DICKINSON,TX
ROGERS MIDDLE,ROGERS,TX
NORTH SHORE SENIOR HIGH,HOUSTON,TX
SABINE PASS SCHOOL,SABINE PASS,TX
MOSS EL,BIG SPRING,TX
HUDDLESTON SPECIAL PROGRAMS CENTER,PRINCETON,TX
POINT ALTERNATIVE CENTER,BAYTOWN,TX
CEDAR RIDGE EL,WACO,TX
WESTWIND EL,LUBBOCK,TX
SILVERLAKE EL,PEARLAND,TX
CHALLENGE ACADEMY,WACO,TX
DEVINE MIDDLE,DEVINE,TX
WELCH MIDDLE,HOUSTON,TX
LAKE CREEK H S,MONTGOMERY,TX
MIRELES EL,SAN ANTONIO,TX
TREVINO EL,EDINBURG,TX
ENCINO PARK EL,SAN ANTONIO,TX
AMBASSADORS PREPARATORY ACADEMY,GALVESTON,TX
MARTIN EL,WEATHERFORD,TX
ORANGEFIELD J H,ORANGEFIELD,TX
SOUTH BELT EL,HOUSTON,TX
STUBBLEFIELD LRN CTR,LUFKIN,TX
JUDSON EARLY COLLEGE ACADEMY,LIVE OAK,TX
EAST FORT WORTH MONTESSORI ACADEMY,FORT WORTH,TX
HUNT EL,CUERO,TX
GUYER H S,DENTON,TX
CHALLENGE EARLY COLLEGE H S,HOUSTON,TX
DRIPPING SPRINGS H S,DRIPPING SPRINGS,TX
MADISON H S,HOUSTON,TX
CHAPEL HILL H S,MOUNT PLEASANT,TX
LAKEVIEW EL,LITTLE ELM,TX
TICE EL,HOUSTON,TX
MAUDE I LOGAN EL,FORT WORTH,TX
SANTA FE H S,SANTA FE,TX
ROBINSON EL,KATY,TX
BELL CO J J A E P,KILLEEN,TX
TIBBALS EL,WYLIE,TX
WELLINGTON H S,WELLINGTON,TX
WELLS EL,WELLS,TX
ALTERNATIVE CENTER,SAN ANTONIO,TX
CROCKETT MIDDLE,AMARILLO,TX
MARY JO SHEPPARD EL,MANSFIELD,TX
BOWIE MIDDLE,IRVING,TX
LOSOYA MIDDLE,SAN ANTONIO,TX
L V STOCKARD MIDDLE,DALLAS,TX
OLD SETTLERS EL,FLOWER MOUND,TX
DANBURY H S,DANBURY,TX
UPLIFT MIGHTY H S,FORT WORTH,TX
OAK RIDGE H S,CONROE,TX
STARKEY EL,KERRVILLE,TX
DOBIE H S,HOUSTON,TX
EXCEL H S OF CHOICE,LONGVIEW,TX
COMMERCE MIDDLE,COMMERCE,TX
BESTEIRO MIDDLE,BROWNSVILLE,TX
SANFORD-FRITCH H S,FRITCH,TX
GOLIAD H S,GOLIAD,TX
BAGDAD EL,LEANDER,TX
OWENS INT,HOUSTON,TX
WODEN J H,WODEN,TX
KIRBYVILLE J H,KIRBYVILLE,TX
NORTH EULESS EL,EULESS,TX
BONNIE HOLLAND EL,KATY,TX
SNOW HEIGHTS EL,NORTH RICHLAND HILLS,TX
IDEA ACADEMY SAN BENITO,SAN BENITO,TX
