Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank,P(name|ethnicity),P(name),numerator,P
2011,FEMALE,latinx,GERALDINE,13,75,0.00013279805501925572,4.147325772439425e-05,5.50756796111188e-09,8.186044765517356e-06
2011,FEMALE,latinx,GIA,21,67,0.0002145199350311054,6.699526247786764e-05,1.4371819354144018e-08,2.1361217405876648e-05
2011,FEMALE,latinx,GIANNA,49,42,0.0005005465150725792,0.0001563222791150245,7.824657203922855e-08,0.0001162999614319951
2011,FEMALE,latinx,GISELLE,38,51,0.00038817893005628593,0.00012122952257899858,4.7058746365950027e-08,6.994466651720153e-05
2011,FEMALE,latinx,GRACE,36,53,0.00036774846005332355,0.00011484902139063023,4.2235550755035485e-08,6.277582258053546e-05
2011,FEMALE,latinx,GUADALUPE,26,62,0.00026559611003851145,8.29465154487885e-05,2.203027184444752e-08,3.274417906206942e-05
2011,FEMALE,latinx,HAILEY,126,8,0.0012871196101866323,0.0004019715748672058,5.173854967491846e-07,0.0007690038266115591
2011,FEMALE,latinx,HALEY,14,74,0.00014301329002073694,4.466350831857842e-05,6.387475268508453e-09,9.493874402611844e-06
2011,FEMALE,latinx,HANNAH,17,71,0.00017365899502518056,5.4234260101130944e-05,9.418267105096646e-09,1.3998620930381748e-05
2011,FEMALE,latinx,HAYLEE,17,71,0.00017365899502518056,5.4234260101130944e-05,9.418267105096646e-09,1.3998620930381748e-05
2011,FEMALE,latinx,HAYLEY,13,75,0.00013279805501925572,4.147325772439425e-05,5.50756796111188e-09,8.186044765517356e-06
2011,FEMALE,latinx,HAZEL,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,HEAVEN,15,73,0.00015322852502221813,4.78537589127626e-05,7.3325608949714376e-09,1.0898580309120738e-05
2011,FEMALE,latinx,HEIDI,15,73,0.00015322852502221813,4.78537589127626e-05,7.3325608949714376e-09,1.0898580309120738e-05
2011,FEMALE,latinx,HEIDY,16,72,0.00016344376002369934,5.104400950694677e-05,8.342824840500837e-09,1.2400162485044042e-05
2011,FEMALE,latinx,HELEN,13,75,0.00013279805501925572,4.147325772439425e-05,5.50756796111188e-09,8.186044765517356e-06
2011,FEMALE,latinx,IMANI,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,INGRID,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,IRENE,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,IRIS,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,ISABEL,28,60,0.0002860265800414739,8.932701663715684e-05,2.5549901074033812e-08,3.7975497610447376e-05
2011,FEMALE,latinx,ISABELA,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,ISABELLA,331,1,0.00338124278549028,0.0010559729466749614,3.5705009076176255e-06,0.005306930476655899
2011,FEMALE,latinx,ISABELLE,18,70,0.00018387423002666178,5.7424510695315116e-05,1.0558887688758871e-08,1.5693955645133865e-05
2011,FEMALE,latinx,ISIS,13,75,0.00013279805501925572,4.147325772439425e-05,5.50756796111188e-09,8.186044765517356e-06
2011,FEMALE,latinx,ITZEL,27,61,0.00027581134503999266,8.613676604297267e-05,2.375749729970746e-08,3.5311400201551194e-05
2011,FEMALE,latinx,IZABELLA,23,65,0.0002349504050340678,7.337576366623598e-05,1.723966539306618e-08,2.5623773260110533e-05
2011,FEMALE,latinx,JACQUELINE,30,58,0.00030645705004443626,9.57075178255252e-05,2.933024357988575e-08,4.3594321236482954e-05
2011,FEMALE,latinx,JADA,21,67,0.0002145199350311054,6.699526247786764e-05,1.4371819354144018e-08,2.1361217405876648e-05
2011,FEMALE,latinx,JADE,50,41,0.0005107617500740605,0.00015951252970920865,8.147289883301597e-08,0.00012109533676800819
2011,FEMALE,latinx,JAELYNN,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,JAMIE,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,JANELLE,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,JASLENE,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,JASMIN,20,68,0.00020430470002962418,6.380501188368347e-05,1.3035663813282557e-08,1.9375253882881315e-05
2011,FEMALE,latinx,JASMINE,41,48,0.0004188246350607296,0.0001308002743615511,5.4782377175319936e-08,8.14245044428087e-05
2011,FEMALE,latinx,JAYDA,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,JAYLA,33,55,0.0003371027550488799,0.00010527826960807772,3.548959473166176e-08,5.274912869614437e-05
2011,FEMALE,latinx,JAYLAH,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,JAYLEEN,51,40,0.0005209769850755417,0.00016270278030339284,8.476440394586983e-08,0.00012598758837343576
2011,FEMALE,latinx,JAYLENE,22,66,0.0002247351700325866,7.018551307205181e-05,1.5773153214071895e-08,2.344405719828639e-05
2011,FEMALE,latinx,JAYLIN,13,75,0.00013279805501925572,4.147325772439425e-05,5.50756796111188e-09,8.186044765517356e-06
2011,FEMALE,latinx,JAYLYN,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,JAZLYN,16,72,0.00016344376002369934,5.104400950694677e-05,8.342824840500837e-09,1.2400162485044042e-05
2011,FEMALE,latinx,JAZMIN,24,64,0.000245165640035549,7.656601426042015e-05,1.877135589112688e-08,2.790036559134909e-05
2011,FEMALE,latinx,JAZMINE,14,74,0.00014301329002073694,4.466350831857842e-05,6.387475268508453e-09,9.493874402611844e-06
2011,FEMALE,latinx,JENNIFER,59,34,0.0006026988650873913,0.00018822478505686621,1.1344286433509144e-07,0.00016861314691577462
2011,FEMALE,latinx,JESSICA,46,44,0.0004699008100681356,0.00014675152733247196,6.895866157226471e-08,0.00010249509304044213
2011,FEMALE,latinx,JIMENA,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,JOCELYN,46,44,0.0004699008100681356,0.00014675152733247196,6.895866157226471e-08,0.00010249509304044213
2011,FEMALE,latinx,JOHANNA,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,JOSELYN,30,58,0.00030645705004443626,9.57075178255252e-05,2.933024357988575e-08,4.3594321236482954e-05
2011,FEMALE,latinx,JULIA,22,66,0.0002247351700325866,7.018551307205181e-05,1.5773153214071895e-08,2.344405719828639e-05
2011,FEMALE,latinx,JULIANA,16,72,0.00016344376002369934,5.104400950694677e-05,8.342824840500837e-09,1.2400162485044042e-05
2011,FEMALE,latinx,JULIANNA,21,67,0.0002145199350311054,6.699526247786764e-05,1.4371819354144018e-08,2.1361217405876648e-05
2011,FEMALE,latinx,JULIET,20,68,0.00020430470002962418,6.380501188368347e-05,1.3035663813282557e-08,1.9375253882881315e-05
2011,FEMALE,latinx,JULIETTE,15,73,0.00015322852502221813,4.78537589127626e-05,7.3325608949714376e-09,1.0898580309120738e-05
2011,FEMALE,latinx,JULISSA,16,72,0.00016344376002369934,5.104400950694677e-05,8.342824840500837e-09,1.2400162485044042e-05
2011,FEMALE,latinx,KAELYN,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,KAILEY,20,68,0.00020430470002962418,6.380501188368347e-05,1.3035663813282557e-08,1.9375253882881315e-05
2011,FEMALE,latinx,KAILYN,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,KAITLYN,31,57,0.00031667228504591747,9.889776841970937e-05,3.131818231141134e-08,4.654904745362235e-05
2011,FEMALE,latinx,KAMILA,36,53,0.00036774846005332355,0.00011484902139063023,4.2235550755035485e-08,6.277582258053546e-05
2011,FEMALE,latinx,KAREN,41,48,0.0004188246350607296,0.0001308002743615511,5.4782377175319936e-08,8.14245044428087e-05
2011,FEMALE,latinx,KARLA,25,63,0.00025538087503703023,7.975626485460433e-05,2.0368224708253993e-08,3.0273834192002048e-05
2011,FEMALE,latinx,KATE,27,61,0.00027581134503999266,8.613676604297267e-05,2.375749729970746e-08,3.5311400201551194e-05
2011,FEMALE,latinx,KATELYN,23,65,0.0002349504050340678,7.337576366623598e-05,1.723966539306618e-08,2.5623773260110533e-05
2011,FEMALE,latinx,KATELYNN,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,KATHERINE,60,33,0.0006129141000888725,0.0001914150356510504,1.17320974319543e-07,0.00017437728494593181
2011,FEMALE,latinx,KATIE,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,KAYLA,62,31,0.0006333445700918349,0.00019779553683941874,1.2527272924564536e-07,0.0001861961898144894
2011,FEMALE,latinx,KAYLEE,83,20,0.0008478645051229404,0.0002647907993172864,2.2450672002425884e-07,0.0003336903099979234
2011,FEMALE,latinx,KAYLEEN,19,69,0.00019408946502814296,6.061476128949929e-05,1.1764686591487507e-08,1.7486166629300383e-05
2011,FEMALE,latinx,KAYLEIGH,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,KAYLIE,15,73,0.00015322852502221813,4.78537589127626e-05,7.3325608949714376e-09,1.0898580309120738e-05
2011,FEMALE,latinx,KAYLIN,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,KEILY,17,71,0.00017365899502518056,5.4234260101130944e-05,9.418267105096646e-09,1.3998620930381748e-05
2011,FEMALE,latinx,KELLY,41,48,0.0004188246350607296,0.0001308002743615511,5.4782377175319936e-08,8.14245044428087e-05
2011,FEMALE,latinx,KEYLA,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,KHLOE,57,35,0.0005822683950844289,0.00018184428386849787,1.0588217932338755e-07,0.00015737549966370344
2011,FEMALE,latinx,KIARA,36,53,0.00036774846005332355,0.00011484902139063023,4.2235550755035485e-08,6.277582258053546e-05
2011,FEMALE,latinx,KIMBERLY,103,13,0.0010521692051525646,0.00032859581120096983,3.457383934877866e-07,0.0005138801711087196
2011,FEMALE,latinx,KRYSTAL,13,75,0.00013279805501925572,4.147325772439425e-05,5.50756796111188e-09,8.186044765517356e-06
2011,FEMALE,latinx,KYLEE,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,KYLIE,37,52,0.0003779636950548047,0.0001180392719848144,4.4614559400959544e-08,6.631180641416129e-05
2011,FEMALE,latinx,LAILA,29,59,0.00029624181504295504,9.251726723134103e-05,2.7407483167426574e-08,4.0736471288757956e-05
2011,FEMALE,latinx,LAURA,14,74,0.00014301329002073694,4.466350831857842e-05,6.387475268508453e-09,9.493874402611844e-06
2011,FEMALE,latinx,LAUREN,21,67,0.0002145199350311054,6.699526247786764e-05,1.4371819354144018e-08,2.1361217405876648e-05
2011,FEMALE,latinx,LAYLA,52,39,0.0005311922200770229,0.000165893030897577,8.812108737779008e-08,0.0001309767162482777
2011,FEMALE,latinx,LEA,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,LEAH,123,9,0.0012564739051821887,0.0003924008230846533,4.930413945778794e-07,0.0007328205399852784
2011,FEMALE,latinx,LEILA,20,68,0.00020430470002962418,6.380501188368347e-05,1.3035663813282557e-08,1.9375253882881315e-05
2011,FEMALE,latinx,LEILANI,33,55,0.0003371027550488799,0.00010527826960807772,3.548959473166176e-08,5.274912869614437e-05
2011,FEMALE,latinx,LESLEY,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,LESLIE,66,27,0.0006742055100977598,0.00021055653921615543,1.4195837892664703e-07,0.00021099651478457748
2011,FEMALE,latinx,LESLY,16,72,0.00016344376002369934,5.104400950694677e-05,8.342824840500837e-09,1.2400162485044042e-05
2011,FEMALE,latinx,LEYLA,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,LIA,26,62,0.00026559611003851145,8.29465154487885e-05,2.203027184444752e-08,3.274417906206942e-05
2011,FEMALE,latinx,LIANA,18,70,0.00018387423002666178,5.7424510695315116e-05,1.0558887688758871e-08,1.5693955645133865e-05
2011,FEMALE,latinx,LILIANA,28,60,0.0002860265800414739,8.932701663715684e-05,2.5549901074033812e-08,3.7975497610447376e-05
2011,FEMALE,latinx,LILY,21,67,0.0002145199350311054,6.699526247786764e-05,1.4371819354144018e-08,2.1361217405876648e-05
2011,FEMALE,latinx,LINDSAY,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,LIZBETH,30,58,0.00030645705004443626,9.57075178255252e-05,2.933024357988575e-08,4.3594321236482954e-05
2011,FEMALE,latinx,LONDON,27,61,0.00027581134503999266,8.613676604297267e-05,2.375749729970746e-08,3.5311400201551194e-05
