Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank,P(name|ethnicity),P(name),numerator,P
2013,MALE,latinx,Jared,25,80,0.00018702635575405287,6.272565554582611e-05,1.1731350769019853e-08,1.5161026074454734e-05
2013,MALE,latinx,Jariel,25,80,0.00018702635575405287,6.272565554582611e-05,1.1731350769019853e-08,1.5161026074454734e-05
2011,MALE,api,AARAV,15,51,0.0002793452148164702,3.763539332749566e-05,1.0513267033771624e-08,1.3586834011275077e-05
2011,MALE,api,AARON,51,19,0.0009497737303759986,0.00012796033731348526,1.215333669104e-07,0.00015706380117033993
2011,MALE,api,ABDUL,20,46,0.0003724602864219603,5.018052443666089e-05,1.8690252504482892e-08,2.4154371575600143e-05
2011,MALE,api,ABDULLAH,30,36,0.0005586904296329404,7.527078665499133e-05,4.2053068135086497e-08,5.434733604510031e-05
2011,MALE,api,ADAM,28,38,0.0005214444009907443,7.025273421132525e-05,3.663289490878647e-08,4.734256828817628e-05
2011,MALE,api,ADITYA,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,ADRIAN,19,47,0.00035383727210086226,4.7671498214827844e-05,1.6867952885295808e-08,2.1799320346979127e-05
2011,MALE,api,AHMED,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,AIDAN,32,34,0.0005959364582751364,8.028883909865742e-05,4.78470464114762e-08,6.183519123353636e-05
2011,MALE,api,AIDEN,96,7,0.0017878093748254092,0.00024086651729597226,4.3062341770328577e-07,0.0005565167211018272
2011,MALE,api,ALAN,37,30,0.0006890515298806265,9.283397020782265e-05,6.39673891965927e-08,8.266833671749148e-05
2011,MALE,api,ALEX,52,18,0.0009683967446970967,0.0001304693635353183,1.2634610693030433e-07,0.00016328355185105695
2011,MALE,api,ALEXANDER,47,22,0.0008752816730916066,0.00011792423242615309,1.0321691945600677e-07,0.00013339251702625178
2011,MALE,api,ALI,13,53,0.00024209918617427417,3.2617340883829576e-05,7.89663168314402e-09,1.0205221990691059e-05
2011,MALE,api,ALLEN,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,ALVIN,43,25,0.0008007896158072146,0.0001078881275388209,8.639569220197216e-08,0.00011165358260821164
2011,MALE,api,ANDREW,70,14,0.0013036110024768608,0.0001756318355283131,2.289555931799154e-07,0.0002958910518011017
2011,MALE,api,ANDY,43,25,0.0008007896158072146,0.0001078881275388209,8.639569220197216e-08,0.00011165358260821164
2011,MALE,api,ANSON,18,48,0.00033521425777976424,4.51624719929948e-05,1.5139104528631142e-08,1.9565040976236117e-05
2011,MALE,api,ANTHONY,46,23,0.0008566586587705086,0.00011541520620432004,9.887143574871449e-08,0.00012777662563492474
2011,MALE,api,ARJUN,27,39,0.0005028213866696464,6.774370798949219e-05,3.406298518942006e-08,4.4021342196531254e-05
2011,MALE,api,ARMAAN,15,51,0.0002793452148164702,3.763539332749566e-05,1.0513267033771624e-08,1.3586834011275077e-05
2011,MALE,api,ARYAN,18,48,0.00033521425777976424,4.51624719929948e-05,1.5139104528631142e-08,1.9565040976236117e-05
2011,MALE,api,AUSTIN,64,16,0.0011918729165502728,0.00016057767819731484,1.913881856459048e-07,0.00024734076493414546
2011,MALE,api,AYAAN,31,35,0.0005773134439540384,7.777981287682438e-05,4.490333164202015e-08,5.8030877710379344e-05
2011,MALE,api,AYDEN,24,42,0.0004469523437063523,6.0216629323993065e-05,2.691396360645536e-08,3.47822950688642e-05
2011,MALE,api,BENJAMIN,39,28,0.0007262975585228225,9.785202265148873e-05,7.106968514829618e-08,9.184699791621952e-05
2011,MALE,api,BENSON,19,47,0.00035383727210086226,4.7671498214827844e-05,1.6867952885295808e-08,2.1799320346979127e-05
2011,MALE,api,BRANDON,29,37,0.0005400674153118424,7.276176043315829e-05,3.9296255890675276e-08,5.0784566237699294e-05
2011,MALE,api,BRIAN,40,27,0.0007449205728439206,0.00010036104887332178,7.476101001793157e-08,9.661748630240057e-05
2011,MALE,api,BRYAN,15,51,0.0002793452148164702,3.763539332749566e-05,1.0513267033771624e-08,1.3586834011275077e-05
2011,MALE,api,CALEB,16,50,0.0002979682291375682,4.014441954932871e-05,1.196176160286905e-08,1.545879780838409e-05
2011,MALE,api,CALVIN,13,53,0.00024209918617427417,3.2617340883829576e-05,7.89663168314402e-09,1.0205221990691059e-05
2011,MALE,api,CARSON,20,46,0.0003724602864219603,5.018052443666089e-05,1.8690252504482892e-08,2.4154371575600143e-05
2011,MALE,api,CHARLES,17,49,0.0003165912434586662,4.265344577116176e-05,1.350370743448889e-08,1.7451533463371103e-05
2011,MALE,api,CHRISTIAN,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,CHRISTOPHER,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,CODY,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,CONNOR,11,55,0.00020485315753207813,2.759928844016349e-05,5.653801382606074e-09,7.306697401619043e-06
2011,MALE,api,DANIEL,84,10,0.001564333202972233,0.00021075820263397572,3.2969605417907814e-07,0.00042608311459358647
2011,MALE,api,DANNY,20,46,0.0003724602864219603,5.018052443666089e-05,1.8690252504482892e-08,2.4154371575600143e-05
2011,MALE,api,DARREN,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,DAVID,28,38,0.0005214444009907443,7.025273421132525e-05,3.663289490878647e-08,4.734256828817628e-05
2011,MALE,api,DEREK,32,34,0.0005959364582751364,8.028883909865742e-05,4.78470464114762e-08,6.183519123353636e-05
2011,MALE,api,DEVIN,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,DYLAN,53,17,0.0009870197590181947,0.00013297838975715134,1.312522982127311e-07,0.000169624074389652
2011,MALE,api,EASON,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,EDISON,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,EDWIN,15,51,0.0002793452148164702,3.763539332749566e-05,1.0513267033771624e-08,1.3586834011275077e-05
2011,MALE,api,ELIJAH,12,54,0.00022347617185317615,3.0108314661996532e-05,6.72849090161384e-09,8.69557376721605e-06
2011,MALE,api,ELVIS,11,55,0.00020485315753207813,2.759928844016349e-05,5.653801382606074e-09,7.306697401619043e-06
2011,MALE,api,ERIC,85,9,0.001582956217293331,0.00021326722885580876,3.375926858622222e-07,0.00043628833658427755
2011,MALE,api,ETHAN,177,1,0.0032962735348343484,0.00044409764126444884,1.463867301782361e-06,0.001891830767729942
2011,MALE,api,EVAN,51,19,0.0009497737303759986,0.00012796033731348526,1.215333669104e-07,0.00015706380117033993
2011,MALE,api,FARHAN,17,49,0.0003165912434586662,4.265344577116176e-05,1.350370743448889e-08,1.7451533463371103e-05
2011,MALE,api,FELIX,22,44,0.00040970631506415627,5.519857688032698e-05,2.2615205530424297e-08,2.9226789606476172e-05
2011,MALE,api,GABRIEL,13,53,0.00024209918617427417,3.2617340883829576e-05,7.89663168314402e-09,1.0205221990691059e-05
2011,MALE,api,GAVIN,27,39,0.0005028213866696464,6.774370798949219e-05,3.406298518942006e-08,4.4021342196531254e-05
2011,MALE,api,GEORGE,12,54,0.00022347617185317615,3.0108314661996532e-05,6.72849090161384e-09,8.69557376721605e-06
2011,MALE,api,HARRISON,13,53,0.00024209918617427417,3.2617340883829576e-05,7.89663168314402e-09,1.0205221990691059e-05
2011,MALE,api,HAYDEN,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,HENRY,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,IAN,22,44,0.00040970631506415627,5.519857688032698e-05,2.2615205530424297e-08,2.9226789606476172e-05
2011,MALE,api,IBRAHIM,17,49,0.0003165912434586662,4.265344577116176e-05,1.350370743448889e-08,1.7451533463371103e-05
2011,MALE,api,ISAAC,13,53,0.00024209918617427417,3.2617340883829576e-05,7.89663168314402e-09,1.0205221990691059e-05
2011,MALE,api,ISHAAN,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,IVAN,66,15,0.0012291189451924687,0.00016559573064098092,2.0353684977381863e-07,0.0002630411064582855
2011,MALE,api,JACK,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,JACKSON,13,53,0.00024209918617427417,3.2617340883829576e-05,7.89663168314402e-09,1.0205221990691059e-05
2011,MALE,api,JACKY,20,46,0.0003724602864219603,5.018052443666089e-05,1.8690252504482892e-08,2.4154371575600143e-05
2011,MALE,api,JACOB,49,21,0.0009125277017338027,0.00012294228486981918,1.1218824065815856e-07,0.00014498661538253987
2011,MALE,api,JADEN,23,43,0.0004283293293852543,5.770760310216002e-05,2.4717858937178622e-08,3.1944156408731186e-05
2011,MALE,api,JAKE,17,49,0.0003165912434586662,4.265344577116176e-05,1.350370743448889e-08,1.7451533463371103e-05
2011,MALE,api,JAMES,36,31,0.0006704285155595285,9.03249439859896e-05,6.055641811452457e-08,7.826016390494447e-05
2011,MALE,api,JASON,98,6,0.0018250554034676054,0.00024588456973963837,4.4875296263263423e-07,0.0005799464615301595
2011,MALE,api,JAY,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,JAYDEN,173,2,0.003221781477549956,0.0004340615363771167,1.398451418016671e-06,0.0018072904672153415
2011,MALE,api,JEFFREY,25,41,0.0004655753580274503,6.272565554582611e-05,2.9203519538254518e-08,3.7741205586875225e-05
2011,MALE,api,JEREMY,17,49,0.0003165912434586662,4.265344577116176e-05,1.350370743448889e-08,1.7451533463371103e-05
2011,MALE,api,JERRY,25,41,0.0004655753580274503,6.272565554582611e-05,2.9203519538254518e-08,3.7741205586875225e-05
2011,MALE,api,JIA,15,51,0.0002793452148164702,3.763539332749566e-05,1.0513267033771624e-08,1.3586834011275077e-05
2011,MALE,api,JOHN,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,JOHNNY,18,48,0.00033521425777976424,4.51624719929948e-05,1.5139104528631142e-08,1.9565040976236117e-05
2011,MALE,api,JONATHAN,50,20,0.0009311507160549006,0.00012545131109165222,1.1681407815301807e-07,0.0001509648223475009
2011,MALE,api,JORDAN,23,43,0.0004283293293852543,5.770760310216002e-05,2.4717858937178622e-08,3.1944156408731186e-05
2011,MALE,api,JOSEPH,21,45,0.00039108330074305825,5.268955065849393e-05,2.0606003386192384e-08,2.6630194662099154e-05
2011,MALE,api,JOSHUA,36,31,0.0006704285155595285,9.03249439859896e-05,6.055641811452457e-08,7.826016390494447e-05
2011,MALE,api,JULIAN,11,55,0.00020485315753207813,2.759928844016349e-05,5.653801382606074e-09,7.306697401619043e-06
2011,MALE,api,JUSTIN,110,4,0.0020485315753207816,0.0002759928844016349,5.653801382606075e-07,0.0007306697401619044
2011,MALE,api,KAI,12,54,0.00022347617185317615,3.0108314661996532e-05,6.72849090161384e-09,8.69557376721605e-06
2011,MALE,api,KEVIN,92,8,0.0017133173175410171,0.00023083041240864007,3.9548574299485795e-07,0.000511106502539699
2011,MALE,api,KINGSLEY,36,31,0.0006704285155595285,9.03249439859896e-05,6.055641811452457e-08,7.826016390494447e-05
2011,MALE,api,KYLE,45,24,0.0008380356444494106,0.000112906179982487,9.461940330394463e-08,0.00012228150610147571
2011,MALE,api,LAWRENCE,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,LEO,40,27,0.0007449205728439206,0.00010036104887332178,7.476101001793157e-08,9.661748630240057e-05
2011,MALE,api,LEON,17,49,0.0003165912434586662,4.265344577116176e-05,1.350370743448889e-08,1.7451533463371103e-05
2011,MALE,api,LIAM,25,41,0.0004655753580274503,6.272565554582611e-05,2.9203519538254518e-08,3.7741205586875225e-05
2011,MALE,api,LOGAN,19,47,0.00035383727210086226,4.7671498214827844e-05,1.6867952885295808e-08,2.1799320346979127e-05
2011,MALE,api,LOUIS,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,LUCAS,103,5,0.0019181704750730953,0.0002584297008488036,4.957122220501475e-07,0.0006406343201138548
2011,MALE,api,LUKE,11,55,0.00020485315753207813,2.759928844016349e-05,5.653801382606074e-09,7.306697401619043e-06
2011,MALE,api,MARCUS,20,46,0.0003724602864219603,5.018052443666089e-05,1.8690252504482892e-08,2.4154371575600143e-05
2011,MALE,api,MARTIN,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,MASON,34,33,0.0006331824869173324,8.530689154232351e-05,5.401482973795556e-08,6.980613385348441e-05
2011,MALE,api,MATTHEW,74,12,0.001378103059761253,0.0001856679404156453,2.558695567863708e-07,0.00033067334686996593
2011,MALE,api,MAX,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,MICHAEL,38,29,0.0007076745442017245,9.534299642965569e-05,6.747181154118323e-08,8.71972813879165e-05
2011,MALE,api,MILES,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,MOHAMED,13,53,0.00024209918617427417,3.2617340883829576e-05,7.89663168314402e-09,1.0205221990691059e-05
2011,MALE,api,MOHAMMAD,46,23,0.0008566586587705086,0.00011541520620432004,9.887143574871449e-08,0.00012777662563492474
2011,MALE,api,MOHAMMED,41,26,0.0007635435871650185,0.00010287007509515482,7.854578615008935e-08,0.0001015087465464596
2011,MALE,api,MUHAMMAD,76,11,0.001415349088403449,0.00019068599285931138,2.6988724616473293e-07,0.000348789125551666
2011,MALE,api,NATHAN,41,26,0.0007635435871650185,0.00010287007509515482,7.854578615008935e-08,0.0001015087465464596
2011,MALE,api,NATHANIEL,16,50,0.0002979682291375682,4.014441954932871e-05,1.196176160286905e-08,1.545879780838409e-05
2011,MALE,api,NELSON,12,54,0.00022347617185317615,3.0108314661996532e-05,6.72849090161384e-09,8.69557376721605e-06
2011,MALE,api,NICHOLAS,26,40,0.00048419837234854834,6.523468176765915e-05,3.158652673257608e-08,4.0820887962764236e-05
2011,MALE,api,NOAH,19,47,0.00035383727210086226,4.7671498214827844e-05,1.6867952885295808e-08,2.1799320346979127e-05
2011,MALE,api,OLIVER,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,OSCAR,25,41,0.0004655753580274503,6.272565554582611e-05,2.9203519538254518e-08,3.7741205586875225e-05
2011,MALE,api,OWEN,27,39,0.0005028213866696464,6.774370798949219e-05,3.406298518942006e-08,4.4021342196531254e-05
2011,MALE,api,PATRICK,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,PETER,11,55,0.00020485315753207813,2.759928844016349e-05,5.653801382606074e-09,7.306697401619043e-06
2011,MALE,api,RAYAN,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,RAYMOND,27,39,0.0005028213866696464,6.774370798949219e-05,3.406298518942006e-08,4.4021342196531254e-05
2011,MALE,api,RICHARD,26,40,0.00048419837234854834,6.523468176765915e-05,3.158652673257608e-08,4.0820887962764236e-05
2011,MALE,api,RICKY,16,50,0.0002979682291375682,4.014441954932871e-05,1.196176160286905e-08,1.545879780838409e-05
2011,MALE,api,ROHAN,15,51,0.0002793452148164702,3.763539332749566e-05,1.0513267033771624e-08,1.3586834011275077e-05
2011,MALE,api,RYAN,150,3,0.002793452148164702,0.00037635393327495667,1.0513267033771626e-06,0.001358683401127508
2011,MALE,api,SAMUEL,30,36,0.0005586904296329404,7.527078665499133e-05,4.2053068135086497e-08,5.434733604510031e-05
2011,MALE,api,SEAN,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,SEBASTIAN,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,SHAWN,10,56,0.00018623014321098014,2.5090262218330445e-05,4.672563126120723e-09,6.038592893900036e-06
2011,MALE,api,SIMON,14,52,0.00026072220049537216,3.512636710566262e-05,9.158223727196617e-09,1.183564207204407e-05
2011,MALE,api,STANLEY,23,43,0.0004283293293852543,5.770760310216002e-05,2.4717858937178622e-08,3.1944156408731186e-05
2011,MALE,api,STEVEN,35,32,0.0006518055012384304,8.781591776415655e-05,5.723889829497885e-08,7.397276295027543e-05
2011,MALE,api,SYED,16,50,0.0002979682291375682,4.014441954932871e-05,1.196176160286905e-08,1.545879780838409e-05
2011,MALE,api,TENZIN,24,42,0.0004469523437063523,6.0216629323993065e-05,2.691396360645536e-08,3.47822950688642e-05
